                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.3598,                 2.6071,                 1.9104,                0.54387,                0.04912,                0.02521,                0.00842,                  2.741,                 2.8419,                 2.2045,              0.0001295,              0.0001295,              0.0001295
                     86,                 2.3632,                 2.6144,                 1.9153,                0.43366,                0.05113,                0.02512,                0.00866,                 2.7392,                 2.8477,                 2.1931,             0.00012189,             0.00012189,             0.00012189
                     87,                 2.3606,                  2.602,                 1.9063,                0.42476,                0.05304,                0.02477,                0.00868,                 2.7404,                 2.8495,                 2.2004,             0.00011427,             0.00011427,             0.00011427
                     88,                 2.3401,                  2.593,                 1.8986,                0.42454,                0.05364,                 0.0254,                0.00889,                 2.7388,                 2.8444,                 2.2018,             0.00010666,             0.00010666,             0.00010666
                     89,                  2.335,                 2.5826,                 1.8972,                 0.4198,                0.05234,                0.02583,                 0.0089,                 2.7395,                 2.8278,                 2.1968,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                 2.3511,                 2.5836,                  1.897,                0.42719,                0.05393,                0.02535,                0.00862,                 2.7425,                 2.8306,                 2.1989,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                 2.5305,                 2.8035,                 2.0755,                0.43906,                0.05998,                0.02828,                0.00872,                  2.771,                 2.8358,                  2.217,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                 2.4972,                 2.7499,                 2.0564,                0.30534,                0.05642,                 0.0266,                 0.0089,                  2.764,                 2.8298,                 2.2012,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                 2.4784,                 2.7271,                 2.0398,                0.30151,                0.05773,                0.02936,                0.00905,                 2.7493,                 2.8223,                 2.1944,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                 2.4689,                 2.7267,                 2.0408,                0.30859,                0.05532,                  0.029,                0.00946,                  2.742,                 2.8221,                 2.2039,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                 2.4576,                 2.7165,                 2.0391,                0.30056,                0.05507,                0.03219,                0.01017,                 2.7401,                 2.8188,                 2.1991,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                 2.4593,                 2.7186,                 2.0386,                0.30352,                0.05243,                0.02873,                0.00943,                 2.7502,                 2.8184,                 2.2031,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                 2.4484,                 2.7082,                  2.034,                0.30527,                0.05141,                0.02795,                0.00926,                 2.7452,                 2.8206,                 2.2037,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                 2.4416,                 2.7054,                 2.0282,                0.30402,                0.05452,                0.02905,                0.00981,                 2.7397,                 2.8178,                 2.2023,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                 2.4461,                 2.6907,                 2.0203,                0.30756,                0.05516,                  0.031,                0.00968,                 2.7443,                 2.8136,                 2.2015,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                 2.4383,                 2.6907,                 2.0196,                0.32358,                0.05429,                 0.0307,                0.00957,                 2.7434,                 2.8123,                 2.2009,             1.5303e-05,             1.5303e-05,             1.5303e-05
